IBGE;NU_IDENTIFICADOR;q62_3;q62_8;q62_9;q62_10;q62_11;q62_12;q62_13;q62_14;q62_15;q62_16;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Regional;DataCenso;DataCenso_2021;Faixas_etarias;d_62_8;d_62_8bin1;d_62_8bin2;d_62_8bin3;d_62_9;d_62_9bin1;d_62_9bin2;d_62_9bin3;d_62_9bin4;d_62_9bin5;d_62_10;d_62_10bin1;d_62_10bin2;d_62_10bin3;d_62_10bin4;d_62_8bin1_sum;d_62_8bin2_sum;d_62_8bin3_sum;d_62_9bin1_sum;d_62_9bin2_sum;d_62_9bin3_sum;d_62_9bin4_sum;d_62_9bin5_sum;d_62_10bin1_sum;d_62_10bin2_sum;d_62_10bin3_sum;d_62_10bin4_sum;nu_trabalhador;d_62_14_1bin_Gestão;d_62_14_1bin_PAIF;d_62_14_1bin_SCFV;d_62_14_1bin_PSB;d_62_14_1bin_Cadastramento;d_62_14_1bin_Beneficios;d_62_14_1bin_PCF;d_62_14_1bin_Outros;d_62_15_2bin_Gestão;d_62_15_2bin_PAIF;d_62_15_2bin_SCFV;d_62_15_2bin_PSB;d_62_15_2bin_Cadastramento;d_62_15_2bin_Beneficios;d_62_15_2bin_PCF;d_62_15_2bin_Outros;d_62_16_3bin_Gestão;d_62_16_3bin_PAIF;d_62_16_3bin_SCFV;d_62_16_3bin_PSB;d_62_16_3bin_Cadastramento;d_62_16_3bin_Beneficios;d_62_16_3bin_PCF;d_62_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_62_14_1bin_Gestão_sum;d_62_14_1bin_PAIF_sum;d_62_14_1bin_SCFV_sum;d_62_14_1bin_PSB_sum;d_62_14_1bin_Cadastramento_sum;d_62_14_1bin_Beneficios_sum;d_62_14_1bin_PCF_sum;d_62_14_1bin_Outros_sum;d_62_15_2bin_Gestão_sum;d_62_15_2bin_PAIF_sum;d_62_15_2bin_SCFV_sum;d_62_15_2bin_PSB_sum;d_62_15_2bin_Cadastramento_sum;d_62_15_2bin_Beneficios_sum;d_62_15_2bin_PCF_sum;d_62_15_2bin_Outros_sum;d_62_16_3bin_Gestão_sum;d_62_16_3bin_PAIF_sum;d_62_16_3bin_SCFV_sum;d_62_16_3bin_PSB_sum;d_62_16_3bin_Cadastramento_sum;d_62_16_3bin_Beneficios_sum;d_62_16_3bin_PCF_sum;d_62_16_3bin_Outros_sum
260300;12603000275;0;255;239;138;252;20;18/02/2010;99;1;2;2603009;26;2;Cabrobó;30873;19798;11075;Pequeno II;1657,706; ;2;31.08.2021;8/31/2021;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;0;4;6;0;3;0;1;1;7;0;1;2;10; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ;1;2;6; ; ; ; ; ;2;2;2;1;1;3;1; ; ; ;2;1;3;1; ; ;3
261640;12616400077;1;252;239;142;254;20;01/05/2021; ; ; ;2616407;26;2;Vitória de Santo Antã;129974;113429;16545;Grande;335,941; ;2;31.08.2021;8/31/2021;3;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;2;2;7;2;2;0;0;2;0;0;1;10;11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
270420;12704203293;0;255;238;266;248;20;01/02/2019;99; ; ;2704203;27;2;Limoeiro de Anadia;26992;2246;24746;Pequeno II;309,205; ;2;31.08.2021;8/31/2021;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;1;4;0;3;0;0;1;3;0;0;3;6; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;4; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
270730;12707301285;0;258;273;266;249;272;24/04/2014;2;3;5;2707305;27;2;Porto Calvo;25708;20197;5511;Pequeno II;313,23; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;1;3;5;1;1;0;1;1;0;0;0;9;9; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;1;1; ;1; ; ;4;3;2;1; ; ; ;2; ;3; ;2; ;1; ;1;1
292460;12924603368;0;257;273;266;249;272;01/07/2021;1;99;2;2924603;29;2;Pindobaçu;20121;11237;8884;Pequeno II;495,845; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;3;6;0;3;0;1;2;0;0;8;1;9;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ;1;5;4; ; ; ; ; ; ;4;1; ; ; ; ; ;4; ;4; ; ; ; ; ;5
310350;13103502296;0;258;274;139;21;20;01/01/2021;1;2;5;3103504;31;3;Araguari;109801;102583;7218;Grande;2729,508; ;2;31.08.2021;8/31/2021;4;2; ; ;1;5; ; ; ; ;1;2; ;1; ; ;1;0;13;2;5;0;1;5;1;13;0;0;14;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ; ;1;7;4; ; ; ; ;1; ;1;1;1;5; ; ; ; ; ; ; ;1; ; ; 
310620;13106201882;1;255;238;264;254;18;09/08/2019;5; ; ;3106200;31;3;Belo Horizonte;2375151;2375151;0;Metrópole;331,401; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;8;15;47;1;15;0;1;22;20;0;0;50;70; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;3;12;7;23;15; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
310620;13106202206;0;255;238;264;254;272;19/03/2019;5; ; ;3106200;31;3;Belo Horizonte;2375151;2375151;0;Metrópole;331,401; ;2;31.08.2021;8/31/2021;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;2;30;40;2;13;0;0;17;20;0;0;52;72; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;11;5;5;23; ; ;26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
310620;13106202206;0;255;239;264;254;272;02/09/2019;5; ; ;3106200;31;3;Belo Horizonte;2375151;2375151;0;Metrópole;331,401; ;2;31.08.2021;8/31/2021;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;2;30;40;2;13;0;0;17;20;0;0;52;72; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;11;5;5;23; ; ;26; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
311830;13118302982;0;251;239;138;252;263;01/04/2018; ; ; ;3118304;31;3;Conselheiro Lafaiete;116512;111266;5246;Grande;370,246; ;2;31.08.2021;8/31/2021;6;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;1;0;9;1;4;0;1;2;8;0;0;2;10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;4;1; ;2; ; ;1;1;4;2; ;2; ; ; ; ; ; ; ;1; ; ;7
313420;13134202310;0;257;273;138;249;18;01/01/2021;2;5;4;3134202;31;3;Ituiutaba;97171;93125;4046;Médio;2598,046; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;5;3;22;0;12;0;1;8;10;0;6;14;30; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1;1; ; ; ;5;10;2;2;1; ;1;4; ;2; ; ;3;2; ;7; ;2; ;1; ;5; ;2
317010;13170100291;0;257;237;138;249;18;04/04/2014;7;2;4;3170107;31;3;Uberaba;295988;289376;6612;Grande;4523,957; ;2;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;1;4;23;0;7;0;0;11;26;0;1;1;28; ; ; ; ; ; ;1; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ;1; ;2;13;7;1; ;1;2;1; ;10;12;2; ; ; ;3;3; ;3;2; ;4;8;7
317010;13170100291;0;257;273;138;249;18;04/04/2014;2;3;99;3170107;31;3;Uberaba;295988;289376;6612;Grande;4523,957; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;4;23;0;7;0;0;11;26;0;1;1;28; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ;1;2;13;7;1; ;1;2;1; ;10;12;2; ; ; ;3;3; ;3;2; ;4;8;7
317020;13170201903;0;257;273;138;249;18;15/04/2013;2; ; ;3170206;31;3;Uberlândia;604013;587266;16747;Grande;4115,206; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;2;4;35;1;19;0;1;11;31;0;6;4;41; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;4;31; ; ; ; ; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
320130;13201300312;0;257;275;138;248;20;01/01/2021;4;99;7;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;5;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ;1;12;28;1;16;0;1;6;19;0;1;21;41; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
320130;13201300312;0;255;238;138;248;20;05/09/2011;2;99;7;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;1;12;28;1;16;0;1;6;19;0;1;21;41; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
320130;13201300312;0;257;273;138;249;18;22/01/2021;2;6;99;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;12;28;1;16;0;1;6;19;0;1;21;41; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ;1; ;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
320130;13201300312;1;256;239;138;248;20;01/04/2019;4;99;7;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;1;12;28;1;16;0;1;6;19;0;1;21;41; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
320130;13201300312;0;257;273;264;249;20;06/09/2011;3;6;99;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;1;12;28;1;16;0;1;6;19;0;1;21;41; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1; ;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
320130;13201300312;0;257;274;138;249;20;01/04/2019;4;6;99;3201308;32;3;Cariacica;348738;337643;11095;Grande;279,718; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ;1;12;28;1;16;0;1;6;19;0;1;21;41; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ;1;1;7;9;17; ; ; ;6; ;2; ; ; ;21;5;12; ;2;1;1; ;3;11;22
