IBGE;NU_IDENTIFICADOR;q62_3;q62_8;q62_9;q62_10;q62_11;q62_12;q62_13;q62_14;q62_15;q62_16;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Regional;DataCenso;DataCenso_2021;Faixas_etarias;d_62_8;d_62_8bin1;d_62_8bin2;d_62_8bin3;d_62_9;d_62_9bin1;d_62_9bin2;d_62_9bin3;d_62_9bin4;d_62_9bin5;d_62_10;d_62_10bin1;d_62_10bin2;d_62_10bin3;d_62_10bin4;d_62_8bin1_sum;d_62_8bin2_sum;d_62_8bin3_sum;d_62_9bin1_sum;d_62_9bin2_sum;d_62_9bin3_sum;d_62_9bin4_sum;d_62_9bin5_sum;d_62_10bin1_sum;d_62_10bin2_sum;d_62_10bin3_sum;d_62_10bin4_sum;nu_trabalhador;d_62_14_1bin_Gestão;d_62_14_1bin_PAIF;d_62_14_1bin_SCFV;d_62_14_1bin_PSB;d_62_14_1bin_Cadastramento;d_62_14_1bin_Beneficios;d_62_14_1bin_PCF;d_62_14_1bin_Outros;d_62_15_2bin_Gestão;d_62_15_2bin_PAIF;d_62_15_2bin_SCFV;d_62_15_2bin_PSB;d_62_15_2bin_Cadastramento;d_62_15_2bin_Beneficios;d_62_15_2bin_PCF;d_62_15_2bin_Outros;d_62_16_3bin_Gestão;d_62_16_3bin_PAIF;d_62_16_3bin_SCFV;d_62_16_3bin_PSB;d_62_16_3bin_Cadastramento;d_62_16_3bin_Beneficios;d_62_16_3bin_PCF;d_62_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_62_14_1bin_Gestão_sum;d_62_14_1bin_PAIF_sum;d_62_14_1bin_SCFV_sum;d_62_14_1bin_PSB_sum;d_62_14_1bin_Cadastramento_sum;d_62_14_1bin_Beneficios_sum;d_62_14_1bin_PCF_sum;d_62_14_1bin_Outros_sum;d_62_15_2bin_Gestão_sum;d_62_15_2bin_PAIF_sum;d_62_15_2bin_SCFV_sum;d_62_15_2bin_PSB_sum;d_62_15_2bin_Cadastramento_sum;d_62_15_2bin_Beneficios_sum;d_62_15_2bin_PCF_sum;d_62_15_2bin_Outros_sum;d_62_16_3bin_Gestão_sum;d_62_16_3bin_PAIF_sum;d_62_16_3bin_SCFV_sum;d_62_16_3bin_PSB_sum;d_62_16_3bin_Cadastramento_sum;d_62_16_3bin_Beneficios_sum;d_62_16_3bin_PCF_sum;d_62_16_3bin_Outros_sum
260510;12605101677;0;257;273;142;249;272;03/03/2021;3;2;5;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260510;12605101677;1;257;232;142;249;18;02/01/2017;5;1;3;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;3;2; ; ;1;4; ; ; ;1; ;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ;1; ; ; ;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260510;12605101677;0;257;232;142;21;20;02/01/2019;2;4;3;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;3;2; ; ;1;4; ; ; ;1; ;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1;1; ; ; ; ;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260510;12605101677;0;257;274;142;249;272;03/03/2021;2;3;5;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260510;12605101677;0;255;238;142;248;20;02/01/2019;1;2;4;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ; ;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260510;12605101677;0;255;238;142;248;20;18/05/2021;99;1;3;2605103;26;2;Custódia;33855;21716;12139;Pequeno II;1404,127; ;2;31.08.2021;8/31/2021;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;2;4;0;1;0;2;1;0;0;0;6;6; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ;1;1;2;1; ;1; ; ;1;2;2;1;1; ; ; ; ; ; ;3;1;2; ; ; 
260520;12605200454;0;252;239;266;252;20;01/02/2021; ; ; ;2605202;26;2;Escada;63517;53964;9553;Médio;342,201; ;2;31.08.2021;8/31/2021;5;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;1;0;4;0;1;0;2;1;0;0;1;4;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;2; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;2; ; ; 
260520;12605200454;0;257;273;266;249;18;01/02/2021;2;4;5;2605202;26;2;Escada;63517;53964;9553;Médio;342,201; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;1;0;4;0;1;0;2;1;0;0;1;4;5; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ;1; ;1;1; ; ; ;1;2; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;2; ; ; 
260520;12605200454;0;257;232;266;21;18;01/02/2021;1; ; ;2605202;26;2;Escada;63517;53964;9553;Médio;342,201; ;2;31.08.2021;8/31/2021;2;2; ; ;1;4; ; ; ;1; ;4; ; ; ;1;1;0;4;0;1;0;2;1;0;0;1;4;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;2; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;2; ; ; 
260520;12605200454;0;257;274;266;249;18;01/02/2021;5; ;2;2605202;26;2;Escada;63517;53964;9553;Médio;342,201; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;1;0;4;0;1;0;2;1;0;0;1;4;5; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1; ; ;1; ; ; ;1;2; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;2; ; ; 
260520;12605200454;0;257;232;292;249;18;01/02/2021;2;3;5;2605202;26;2;Escada;63517;53964;9553;Médio;342,201; ;2;31.08.2021;8/31/2021;5;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;1;0;4;0;1;0;2;1;0;0;1;4;5; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;2; ; ;1; ; ; ; ; ;1;1; ; ; ; ; ;1; ; ;2; ; ; 
260530;12605303549;0;258;237;266;21;20;01/10/2013;1; ; ;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;4;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;0;1;6;0;1;0;1;2;1;0;1;5;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;1;257;232;292;249;20;11/01/2021;2;3;6;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;3;2; ; ;1;4; ; ; ;1; ;3; ; ;1; ;0;1;6;0;1;0;1;2;1;0;1;5;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;0;257;237;138;254;20;05/03/2015;99; ; ;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;2;2; ; ;1;8; ; ; ; ; ;1;1; ; ; ;0;1;6;0;1;0;1;2;1;0;1;5;7; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;0;257;274;266;249;18;01/03/2021;2;3;6;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;0;1;6;0;1;0;1;2;1;0;1;5;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;0;257;274;266;249;18;11/01/2021;2;3;6;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;0;1;6;0;1;0;1;2;1;0;1;5;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;0;255;238;266;251;20;04/01/2021;99; ; ;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;5;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;1;6;0;1;0;1;2;1;0;1;5;7; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260530;12605303549;0;257;273;266;249;18;04/11/2010;2;3;6;2605301;26;2;Exu;31636;16303;15333;Pequeno II;1336,788; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;1;6;0;1;0;1;2;1;0;1;5;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1; ; ;1;4; ; ; ; ; ;2; ; ;4; ; ; ; ; ; ; ; ; ; ;4; ; 
260560;12605600485;0;257;273;292;21;20;03/02/2020;1;6;99;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;3; ; ;1; ;2;3;6;0;2;0;1;1;4;0;1;6;11;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;1;255;239;266;254;20;01/04/2021;99;1;2;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1; ; ; ; ; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;1;255;239;138;254;20;10/02/2021;99;1;3;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ;1; ; ; ; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;0;252;239;266;252;20;14/06/2021;99;1;6;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;0;257;273;266;249;18;21/04/2021;2;6;5;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ;1; ; ;1;1; ; ;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;0;255;238;138;251;20;02/01/2021;99;1;5;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;1; ;1; ;6; ; ; ; ; ;1;1; ; ; ;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ;1; ; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;1;252;239;138;254;20;10/02/2021;99;1;6;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;3;0;1; ; ;8; ; ; ; ; ;1;1; ; ; ;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ; ; ;1; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;1;257;237;266;251;20;01/06/2021;4;5;99;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;2;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1;1; ; ;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;1;257;232;138;249;18;02/02/2021;2;3;5;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;2;2; ; ;1;4; ; ; ;1; ;1;1; ; ; ;2;3;6;0;2;0;1;1;4;0;1;6;11; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;0;257;237;266;254;20;08/03/2021;7;1;99;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;2;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ; ; ; ; ; ;1; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;1;1;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260560;12605600485;0;257;274;266;249;20;02/01/2017;2;3;5;2605608;26;2;Flores;22169;9364;12805;Pequeno II;995,558; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;2;3;6;0;2;0;1;1;4;0;1;6;11; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;1;3; ;1; ; ;1;5;6; ;2; ;1;2; ; ; ;1;1; ;4;2; ;3
260570;12605702846;0;257;274;138;249;18;03/03/2016;99; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;3;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ;1;4;2;1;1;0;0;1;3;0;0;4;7; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;0;255;238;142;251;20;04/01/2021;1; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;4;2;1;1;0;0;1;3;0;0;4;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;1;256;238;142;251;20;21/06/2021;1; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;4;2;1;1;0;0;1;3;0;0;4;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;0;255;238;142;21;20;04/01/2021;1; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;3;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;4;2;1;1;0;0;1;3;0;0;4;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;0;253;239;142;252;20;01/06/2021; ; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;4;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;1;4;2;1;1;0;0;1;3;0;0;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;0;258;273;138;249;20;07/07/2021;99; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;4;2;1;1;0;0;1;3;0;0;4;7; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260570;12605702846;0;256;275;138;248;18;24/01/2017;99; ; ;2605707;26;2;Floresta;29285;19973;9312;Pequeno II;3644,168; ;2;31.08.2021;8/31/2021;2;1; ;1; ;1;1; ; ; ; ;1;1; ; ; ;1;4;2;1;1;0;0;1;3;0;0;4;7; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3; ; ; ; ; ; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
260590;12605901715;0;257;273;266;249;18;04/01/2021;2;3;5;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;0;257;273;266;21;20;04/01/2021;1;2;3;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1;1;1; ; ; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;1;257;273;266;249;18;04/01/2021;2;3;5;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;0;257;274;266;249;20;04/01/2021;2;3;5;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;2;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;0;257;232;266;249;18;02/09/2021;1;3;5;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;2;2; ; ;1;4; ; ; ;1; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ;1; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;0;255;239;266;248;20;04/01/2021;4;2;3;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;2;1; ;1; ;8; ; ; ; ; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7; ; ; ;1; ; ; ; ; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;1;1;1; ; ; ; ;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260590;12605901715;0;255;238;266;254;20;14/06/2021;4;3;99;2605905;26;2;Gameleira;27912;19504;8408;Pequeno II;255,961; ;2;31.08.2021;8/31/2021;2;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;0;2;5;0;3;0;1;1;0;0;0;7;7; ; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;1; ; ; ;1;2;3; ;2; ; ; ; ; ;2;5; ; ; ; ; ; ; ;2; ;4; ; ;1
260600;12606000749;0;257;274;266;249;18;01/04/2021;1;2;4;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;3;2; ; ;1;5; ; ; ; ;1;4; ; ; ;1;1;7;15;0;5;0;1;5;4;0;0;19;23;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ;1;1; ;1; ; ; ; ;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;0;257;273;138;249;18;20/07/2021;2;4; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;7;15;0;5;0;1;5;4;0;0;19;23; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;0;255;238;266;254;18;01/03/2021;99; ; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;7;15;0;5;0;1;5;4;0;0;19;23; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;1;255;238;266;254;18;17/10/2014;99; ; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;7;15;0;5;0;1;5;4;0;0;19;23; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;0;258;273;138;249;18;01/03/2016;3;2; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;7;15;0;5;0;1;5;4;0;0;19;23; ; ;1; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;0;258;273;138;249;18;05/02/2016;2;4; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;4;2; ; ;1;2; ;1; ; ; ;1;1; ; ; ;1;7;15;0;5;0;1;5;4;0;0;19;23; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ; ; ; ;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
260600;12606000749;0;257;235;266;251;18;01/03/2021;99; ; ;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552; ;2;31.08.2021;8/31/2021;3;2; ; ;1;8; ; ; ; ; ;4; ; ; ;1;1;7;15;0;5;0;1;5;4;0;0;19;23; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;3;6;4;3; ; ; ;6; ;9; ;6; ; ; ; ; ; ; ;1; ; ; ; 
