IBGE;UF;Regiao;IBGE7;Municipio;Porte_pop2010;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;areaKm2;Q_completo;NU_IDENTIFICADOR;q58_3;q58_8;q58_9;q58_10;q58_11;q58_12;q58_13;q58_14;q58_15;q58_16;DataCenso;DataCenso_2019;Idade;Faixas_etarias;d_58_8;d_58_8bin1;d_58_8bin2;d_58_8bin3;d_58_9;d_58_9bin1;d_58_9bin2;d_58_9bin3;d_58_9bin4;d_58_9bin5;d_58_10;d_58_10bin1;d_58_10bin2;d_58_10bin3;d_58_10bin4;d_58_8bin1_sum;d_58_8bin2_sum;d_58_8bin3_sum;d_58_9bin1_sum;d_58_9bin2_sum;d_58_9bin3_sum;d_58_9bin4_sum;d_58_9bin5_sum;d_58_10bin1_sum;d_58_10bin2_sum;d_58_10bin3_sum;d_58_10bin4_sum;nu_trabalhador;d_58_14_1bin_Gest∆o;d_58_14_1bin_PAIF;d_58_14_1bin_SCFV;d_58_14_1bin_PSB;d_58_14_1bin_Cadastramento;d_58_14_1bin_Beneficios;d_58_14_1bin_PCF;d_58_14_1bin_Outros;d_58_15_2bin_Gest∆o;d_58_15_2bin_PAIF;d_58_15_2bin_SCFV;d_58_15_2bin_PSB;d_58_15_2bin_Cadastramento;d_58_15_2bin_Beneficios;d_58_15_2bin_PCF;d_58_15_2bin_Outros;d_58_16_3bin_Gest∆o;d_58_16_3bin_PAIF;d_58_16_3bin_SCFV;d_58_16_3bin_PSB;d_58_16_3bin_Cadastramento;d_58_16_3bin_Beneficios;d_58_16_3bin_PCF;d_58_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_58_14_1bin_Gest∆o_sum;d_58_14_1bin_PAIF_sum;d_58_14_1bin_SCFV_sum;d_58_14_1bin_PSB_sum;d_58_14_1bin_Cadastramento_sum;d_58_14_1bin_Beneficios_sum;d_58_14_1bin_PCF_sum;d_58_14_1bin_Outros_sum;d_58_15_2bin_Gest∆o_sum;d_58_15_2bin_PAIF_sum;d_58_15_2bin_SCFV_sum;d_58_15_2bin_PSB_sum;d_58_15_2bin_Cadastramento_sum;d_58_15_2bin_Beneficios_sum;d_58_15_2bin_PCF_sum;d_58_15_2bin_Outros_sum;d_58_16_3bin_Gest∆o_sum;d_58_16_3bin_PAIF_sum;d_58_16_3bin_SCFV_sum;d_58_16_3bin_PSB_sum;d_58_16_3bin_Cadastramento_sum;d_58_16_3bin_Beneficios_sum;d_58_16_3bin_PCF_sum;d_58_16_3bin_Outros_sum
320210;Espirito Santo;Regi∆o Sudeste;3202108;ECOPORANGA;PEQUENO II;23212;14779;8433;2285,369;SIM;13202100207;Masculino;MÇdio Completo;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;02/set/02;Outros;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);31.08.2019;31/ago/19;53;51 a 60 anos;N°vel MÇdio;;N°vel MÇdio;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;10;6;2;1;0;0;2;6;0;2;8;16;;;;;;;;Outros;;PAIF;;;;;;;Gest∆o;;;;;;;;1;1;;;;;;1;4;5;1;;;;;6;1;10;5;;;;;;5;1;7;3;;;;
330080;Rio de Janeiro;Regi∆o Sudeste;3300803;CACHOEIRAS DE MACACU;MEDIO;54273;46944;7329;954,749;SIM;13300801863;Feminino;Superior Completo;Psic¢loga(o);Servidor(a) Tempor†ria(o);Coordenador(a);De 11 a 20 horas semanais;01/set/17;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);Concess∆o Benef°cios Eventual;31.08.2019;31/ago/19;39;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;0;2;4;0;1;0;1;2;0;0;0;6;6;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;Concess∆o de Benef°cios Eventuais;;;;1;1;;;1;;;2;2;;;;;;2;2;;4;;;;;;;1;;2;1;2;;
330285;Rio de Janeiro;Regi∆o Sudeste;3302858;MESQUITA;GRANDE;168376;168376;0;41,49;SIM;13302851881;Feminino;Superior Completo;Assistente Social;Comissionada(o);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;22/ago/19;Serviáo Especializado em Abordagem Social;;;31.08.2019;31/ago/19;42;41 a 50 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Comissionado;;;Comissionado;;0;2;7;1;3;0;0;2;3;0;2;4;9;;;;Serviáo de PSB no domic°lio;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;3;4;;2;;;;;;;2;;2;;2;1;;;1;;;;;5
350320;S∆o Paulo;Regi∆o Sudeste;3503208;ARARAQUARA;GRANDE;208662;202730;5932;1003,625;SIM;13503202309;Feminino;Superior Completo;Assistente Social;Empregada(o) P£blica(o) (CLT);TÇcnico(a) de n°vel superior;De 21 a 30 horas semanais;19/jun/19;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;;31.08.2019;31/ago/19;31;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Empregado P£blico (CLT);;Empregado P£blico (CLT);;;1;10;15;0;4;0;0;9;0;24;0;2;26;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;12;6;;5;;;2;;;;;;;;;;;;;;;;
411727;Paran†;Regi∆o Sul;4117271;NOVA TEBAS;PEQUENO I;7398;2891;4507;545,686;SIM;14117270666;Feminino;Superior Completo;Assistente Social;Empregada(o) P£blica(o) (CLT);Coordenador(a);AtÇ 10 horas semanais;24/abr/18;Atividades de gest∆o (administrativo);Outros;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);31.08.2019;31/ago/19;36;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Empregado P£blico (CLT);;Empregado P£blico (CLT);;;0;2;2;0;1;0;0;1;3;1;0;0;4;Gest∆o;;;;;;;;;;;;;;;Outros;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;1;;1;;;;;1;2;1;;;;;;1;1;;1;;;;;2;;;1;;1;;;
412780;Paran†;Regi∆o Sul;4127809;TOMAZINA;PEQUENO I;8791;4119;4672;591,438;SIM;14127803153;Feminino;Especializaá∆o;Assistente Social;Servidor(a)/Estatut†rio(a);Coordenador(a);De 31 a 40 horas semanais;01/mai/11;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;;;31.08.2019;31/ago/19;34;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;0;3;0;2;0;0;0;1;0;0;2;3;;PAIF;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1;;;;;1;;;;;;;;1;;;;;;;;
421360;Santa Catarina;Regi∆o Sul;4213609;PORTO UNIAO;PEQUENO II;33493;28266;5227;845,34;SIM;14213603109;Feminino;Superior Completo;Psic¢loga(o);Servidor(a)/Estatut†rio(a);Coordenador(a);De 11 a 20 horas semanais;06/ago/18;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo Especializado em Abordagem Social;31.08.2019;31/ago/19;30;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;1;3;0;2;0;0;1;4;0;0;0;4;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;Serviáo de PSB no domic°lio;;;;;1;1;;1;;;;;;2;1;;;;;1;3;;;;;;;;;;;3;;;;
421580;Santa Catarina;Regi∆o Sul;4215802;SAO BENTO DO SUL;MEDIO;74801;71234;3567;501,634;SIM;14215801957;Feminino;Superior Completo;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 21 a 30 horas semanais;05/ago/09;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;;31.08.2019;31/ago/19;34;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;5;21;2;9;0;1;8;23;0;1;2;26;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;9;3;3;2;;;5;;;;;;;;;;;;;;;;
431100;Rio Grande do Sul;Regi∆o Sul;4311007;JAGUARAO;PEQUENO II;27931;26105;1826;2051,021;SIM;14311003054;Feminino;Superior Completo;Psic¢loga(o);Comissionada(o);Coordenador(a);De 21 a 30 horas semanais;17/dez/18;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;43;41 a 50 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Comissionado;;;Comissionado;;0;0;5;0;2;0;1;2;3;0;2;0;5;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;PAIF;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;;1;1;;1;;;;;3;1;1;;;;;;2;1;;1;;;;;;1;2;1;;;
431390;Rio Grande do Sul;Regi∆o Sul;4313904;PANAMBI;PEQUENO II;38058;34562;3496;490,857;SIM;14313901855;Feminino;Especializaá∆o;Assistente Social;Servidor(a)/Estatut†rio(a);Coordenador(a);De 31 a 40 horas semanais;01/mar/11;Atividades de gest∆o (administrativo);Outros;;31.08.2019;31/ago/19;40;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;1;5;1;1;0;0;2;7;0;0;0;7;Gest∆o;;;;;;;;;;;;;;;Outros;;;;;;;;;1;;;;;;;1;1;1;2;;;;;2;;2;1;;;;;1;;;;;;;;
