IBGE;UF;Regiao;IBGE7;Municipio;Porte_pop2010;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;areaKm2;Q_completo;NU_IDENTIFICADOR;q58_3;q58_8;q58_9;q58_10;q58_11;q58_12;q58_13;q58_14;q58_15;q58_16;DataCenso;DataCenso_2019;Idade;Faixas_etarias;d_58_8;d_58_8bin1;d_58_8bin2;d_58_8bin3;d_58_9;d_58_9bin1;d_58_9bin2;d_58_9bin3;d_58_9bin4;d_58_9bin5;d_58_10;d_58_10bin1;d_58_10bin2;d_58_10bin3;d_58_10bin4;d_58_8bin1_sum;d_58_8bin2_sum;d_58_8bin3_sum;d_58_9bin1_sum;d_58_9bin2_sum;d_58_9bin3_sum;d_58_9bin4_sum;d_58_9bin5_sum;d_58_10bin1_sum;d_58_10bin2_sum;d_58_10bin3_sum;d_58_10bin4_sum;nu_trabalhador;d_58_14_1bin_Gest∆o;d_58_14_1bin_PAIF;d_58_14_1bin_SCFV;d_58_14_1bin_PSB;d_58_14_1bin_Cadastramento;d_58_14_1bin_Beneficios;d_58_14_1bin_PCF;d_58_14_1bin_Outros;d_58_15_2bin_Gest∆o;d_58_15_2bin_PAIF;d_58_15_2bin_SCFV;d_58_15_2bin_PSB;d_58_15_2bin_Cadastramento;d_58_15_2bin_Beneficios;d_58_15_2bin_PCF;d_58_15_2bin_Outros;d_58_16_3bin_Gest∆o;d_58_16_3bin_PAIF;d_58_16_3bin_SCFV;d_58_16_3bin_PSB;d_58_16_3bin_Cadastramento;d_58_16_3bin_Beneficios;d_58_16_3bin_PCF;d_58_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_58_14_1bin_Gest∆o_sum;d_58_14_1bin_PAIF_sum;d_58_14_1bin_SCFV_sum;d_58_14_1bin_PSB_sum;d_58_14_1bin_Cadastramento_sum;d_58_14_1bin_Beneficios_sum;d_58_14_1bin_PCF_sum;d_58_14_1bin_Outros_sum;d_58_15_2bin_Gest∆o_sum;d_58_15_2bin_PAIF_sum;d_58_15_2bin_SCFV_sum;d_58_15_2bin_PSB_sum;d_58_15_2bin_Cadastramento_sum;d_58_15_2bin_Beneficios_sum;d_58_15_2bin_PCF_sum;d_58_15_2bin_Outros_sum;d_58_16_3bin_Gest∆o_sum;d_58_16_3bin_PAIF_sum;d_58_16_3bin_SCFV_sum;d_58_16_3bin_PSB_sum;d_58_16_3bin_Cadastramento_sum;d_58_16_3bin_Beneficios_sum;d_58_16_3bin_PCF_sum;d_58_16_3bin_Outros_sum
110010;Rondonia;Regi∆o Norte;1100106;GUAJARA-MIRIM;PEQUENO II;41656;35207;6449;24855,724;SIM;11100102998;Feminino;Especializaá∆o;Outra(o) profissional de n°vel superior;Servidor(a)/Estatut†rio(a);Educador(a) Social;De 31 a 40 horas semanais;22/jan/19;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);31.08.2019;31/ago/19;37;30 a 40 anos;N°vel Superior;;;N°vel Superior;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;1;5;1;1;0;0;1;5;0;1;1;7;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;PAIF;;;;;;;Gest∆o;;;;;;;;1;1;1;;;;;;2;1;3;;;;;1;1;4;;;;;;1;2;;1;1;1;;;
110010;Rondonia;Regi∆o Norte;1100106;GUAJARA-MIRIM;PEQUENO II;41656;35207;6449;24855,724;SIM;11100102998;Feminino;Superior Completo;Pedagoga(o);Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;10/out/17;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo Especializado em Abordagem Social;31.08.2019;31/ago/19;49;41 a 50 anos;N°vel Superior;;;N°vel Superior;Pedagogo;Pedagogo;;;;;Comissionado;;;Comissionado;;1;1;5;1;1;0;0;1;5;0;1;1;7;Gest∆o;;;;;;;;;PAIF;;;;;;;;;;Serviáo de PSB no domic°lio;;;;;1;1;;1;;;;;2;1;3;;;;;1;1;4;;;;;;1;2;;1;1;1;;;
110010;Rondonia;Regi∆o Norte;1100106;GUAJARA-MIRIM;PEQUENO II;41656;35207;6449;24855,724;SIM;11100102998;Feminino;Superior Completo;Outra(o) profissional de n°vel superior;Servidor(a)/Estatut†rio(a);Educador(a) Social;De 31 a 40 horas semanais;10/jul/18;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);31.08.2019;31/ago/19;29;18 a 29 anos;N°vel Superior;;;N°vel Superior;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;1;5;1;1;0;0;1;5;0;1;1;7;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;PAIF;;;;;;;Gest∆o;;;;;;;;1;1;1;;;;;;2;1;3;;;;;1;1;4;;;;;;1;2;;1;1;1;;;
110011;Rondonia;Regi∆o Norte;1100114;JARU;MEDIO;52005;35118;16887;2944,128;SIM;11100112887;Feminino;Superior Completo;Psic¢loga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;18/jul/19;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;31.08.2019;31/ago/19;29;18 a 29 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;0;4;0;1;0;1;2;3;0;1;0;4;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;1;1;;;;;;1;3;;;;;;;;;3;1;;;;;;;;;;;;
110011;Rondonia;Regi∆o Norte;1100114;JARU;MEDIO;52005;35118;16887;2944,128;SIM;11100112887;Feminino;Especializaá∆o;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 21 a 30 horas semanais;11/mai/18;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;31.08.2019;31/ago/19;27;18 a 29 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;0;4;0;1;0;1;2;3;0;1;0;4;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;1;1;;;;;;1;3;;;;;;;;;3;1;;;;;;;;;;;;
110011;Rondonia;Regi∆o Norte;1100114;JARU;MEDIO;52005;35118;16887;2944,128;SIM;11100112887;Feminino;Superior Completo;Psic¢loga(o);Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;28/mai/19;Atividades de gest∆o (administrativo);Serviáo Especializado em Abordagem Social;;31.08.2019;31/ago/19;24;18 a 29 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Comissionado;;;Comissionado;;0;0;4;0;1;0;1;2;3;0;1;0;4;Gest∆o;;;;;;;;;;;Serviáo de PSB no domic°lio;;;;;;;;;;;;;1;;;1;;;;;1;3;;;;;;;;;3;1;;;;;;;;;;;;
110011;Rondonia;Regi∆o Norte;1100114;JARU;MEDIO;52005;35118;16887;2944,128;SIM;11100112887;Masculino;Superior Completo;Advogada(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 11 a 20 horas semanais;01/nov/16;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;31.08.2019;31/ago/19;62;Mais de 60 anos;N°vel Superior;;;N°vel Superior;Advogado;;;;Advogado;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;0;4;0;1;0;1;2;3;0;1;0;4;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;1;1;;;;;;1;3;;;;;;;;;3;1;;;;;;;;;;;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Psic¢loga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;24/set/10;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;35;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;MÇdio Completo;Sem formaá∆o profissional;Sem v°nculo;Estagi†rio(a);De 11 a 20 horas semanais;26/mar/19;Outros;;;31.08.2019;31/ago/19;17;16 a 17 anos;N°vel MÇdio;;N°vel MÇdio;;Outro profissional de nivel superior;;;;;;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Especializaá∆o;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;01/fev/11;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;39;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Masculino;Fundamental Incompleto;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Outros;De 31 a 40 horas semanais;01/jan/91;Outros;;;31.08.2019;31/ago/19;57;51 a 60 anos;N°vel fundamental;N°vel fundamental;;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;21/ago/08;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;61;Mais de 60 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Masculino;Especializaá∆o;Assistente Social;Comissionada(o);TÇcnico(a) de n°vel superior;De 21 a 30 horas semanais;01/jun/13;Serviáo Especializado em Abordagem Social;;;31.08.2019;31/ago/19;64;Mais de 60 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Comissionado;;;Comissionado;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;Serviáo de PSB no domic°lio;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Advogada(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;01/fev/11;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;48;41 a 50 anos;N°vel Superior;;;N°vel Superior;Advogado;;;;Advogado;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;MÇdio Completo;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;01/fev/11;Outros;;;31.08.2019;31/ago/19;45;41 a 50 anos;N°vel MÇdio;;N°vel MÇdio;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Psic¢loga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;01/jun/13;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;;31.08.2019;31/ago/19;44;41 a 50 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;21/fev/11;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Concess∆o Benef°cios Eventual;31.08.2019;31/ago/19;57;51 a 60 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;;Concess∆o de Benef°cios Eventuais;;;1;1;;;;1;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Masculino;Superior Completo;Sem formaá∆o profissional;Comissionada(o);Outros;De 21 a 30 horas semanais;17/jun/19;Outros;;;31.08.2019;31/ago/19;41;41 a 50 anos;N°vel Superior;;;N°vel Superior;Outro profissional de nivel superior;;;;;;Comissionado;;;Comissionado;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Especializaá∆o;Pedagoga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;13/dez/11;Atividades de gest∆o (administrativo);;;31.08.2019;31/ago/19;39;30 a 40 anos;N°vel Superior;;;N°vel Superior;Pedagogo;Pedagogo;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;Gest∆o;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Especializaá∆o;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;31/mai/10;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;;31.08.2019;31/ago/19;37;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Especializaá∆o;Outra(o) profissional de n°vel superior;Servidor(a)/Estatut†rio(a);Coordenador(a);De 31 a 40 horas semanais;01/fev/11;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;37;30 a 40 anos;N°vel Superior;;;N°vel Superior;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;Gest∆o;;;;;;;;;PAIF;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Masculino;MÇdio Completo;Profissional de n°vel mÇdio;Servidor(a)/Estatut†rio(a);Outros;De 31 a 40 horas semanais;22/mai/12;Outros;;;31.08.2019;31/ago/19;40;30 a 40 anos;N°vel MÇdio;;N°vel MÇdio;;Profissional de n°vel mÇdio;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110012;Rondonia;Regi∆o Norte;1100122;JI-PARANA;GRANDE;116610;104858;11752;6896,649;SIM;11100120307;Feminino;Superior Completo;Pedagoga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;01/jul/12;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Atividades de gest∆o (administrativo);Serviáo de Proteá∆o Social Especial para Pessoas com Deficiància, Idosos e suas Fam°lias;31.08.2019;31/ago/19;33;30 a 40 anos;N°vel Superior;;;N°vel Superior;Pedagogo;Pedagogo;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;1;3;12;2;5;0;1;2;13;0;2;1;16;;PAIF;;;;;;;Gest∆o;;;;;;;;;;;;Cadastramento e/ou Atualizaá∆o Cadastral (CadÈnico);;;;1;1;;;1;;;;2;6;2;1;;;;5;6;1;;;;;;;;;;;6;1;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Completo;Assistente Social;Comissionada(o);Apoio Administrativo;De 31 a 40 horas semanais;20/fev/18;Outros;;;31.08.2019;31/ago/19;23;18 a 29 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Comissionado;;;Comissionado;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Incompleto;Profissional de n°vel mÇdio;Comissionada(o);Educador(a) Social;De 31 a 40 horas semanais;23/mai/19;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);;;31.08.2019;31/ago/19;20;18 a 29 anos;N°vel MÇdio;;N°vel MÇdio;;Profissional de n°vel mÇdio;;;;;;Comissionado;;;Comissionado;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Masculino;Fundamental Completo;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Outros;De 31 a 40 horas semanais;01/jan/10;;;;31.08.2019;31/ago/19;57;51 a 60 anos;N°vel fundamental;N°vel fundamental;;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;MÇdio Completo;Profissional de n°vel mÇdio;Servidor(a)/Estatut†rio(a);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;20/fev/08;Outros;;;31.08.2019;31/ago/19;45;41 a 50 anos;N°vel MÇdio;;N°vel MÇdio;;Profissional de n°vel mÇdio;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Completo;Pedagoga(o);Servidor(a)/Estatut†rio(a);Coordenador(a);De 31 a 40 horas semanais;01/fev/17;Outros;;;31.08.2019;31/ago/19;45;41 a 50 anos;N°vel Superior;;;N°vel Superior;Pedagogo;Pedagogo;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;MÇdio Incompleto;Sem formaá∆o profissional;Comissionada(o);Educador(a) Social;De 41 a 44 horas semanais;25/jul/17;;;;31.08.2019;31/ago/19;40;30 a 40 anos;N°vel fundamental;N°vel fundamental;;;Outro profissional de nivel superior;;;;;;Comissionado;;;Comissionado;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;MÇdio Completo;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;14/set/18;Outros;;;31.08.2019;31/ago/19;38;30 a 40 anos;N°vel MÇdio;;N°vel MÇdio;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;;;;;Outros;;;;;;;;;;;;;;;;;;;;;;;;1;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Completo;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;06/set/17;Serviáo Especializado em Abordagem Social;;;31.08.2019;31/ago/19;53;51 a 60 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;;;Serviáo de PSB no domic°lio;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Completo;Psic¢loga(o);Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;05/out/17;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;;;31.08.2019;31/ago/19;39;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;PAIF;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
110015;Rondonia;Regi∆o Norte;1100155;OURO PRETO DO OESTE;PEQUENO II;37928;28180;9748;1969,85;SIM;11100152092;Feminino;Superior Completo;Assistente Social;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;06/mai/19;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;;;31.08.2019;31/ago/19;35;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;4;6;1;3;0;0;2;9;0;3;0;12;;PAIF;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;1;1;;;;5;;;;;;;;;;;;;;;;
