IBGE;NU_IDENTIFICADOR;Q_completo;q40_3;q40_8;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;estado;DataCenso;DataCenso_2019;q40_2_rec;Idade;Faixas_etarias;d_40_8;d_40_11;d_40_8bin1;d_40_8bin2;d_40_8bin3;d_40_10bin1;d_40_10bin2;d_40_10bin3;d_40_10bin4;d_40_10bin5;d_40_11bin1;d_40_11bin2;d_40_11bin3;d_40_11bin4;d_40_8bin1_sum;d_40_8bin2_sum;d_40_8bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores;filter_$
313220;3132203500844; ;1;257;274;363;218;272;01/03/2016;3132206;31;3;Itaguara;12372;9526;2846;Pequeno I;410,468;2;31.08.2019;8/31/2019;4/4/1988;31;2;2;4; ; ;1; ; ; ; ;1; ; ; ;1;3;5;11;2;1;0;0;1;1;1;0;17;19;0
313220;3132203500844; ;1;258;240;363;254;18;01/11/2015;3132206;31;3;Itaguara;12372;9526;2846;Pequeno I;410,468;2;31.08.2019;8/31/2019;10/15/1984;34;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;5;11;2;1;0;0;1;1;1;0;17;19;0
313220;3132203500844; ;1;255;238;138;250;272;01/01/2013;3132206;31;3;Itaguara;12372;9526;2846;Pequeno I;410,468;2;31.08.2019;8/31/2019;4/4/1989;30;2;1;1; ;1; ; ; ; ; ; ;1; ; ; ;3;5;11;2;1;0;0;1;1;1;0;17;19;0
313490;3134903501581; ;1;257;237;363;349;18;03/06/2019;3134905;31;3;Jacutinga;22772;19076;3696;Pequeno II;347,667;2;31.08.2019;8/31/2019;10/30/1990;28;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;3;4;1;1;0;1;1;0;0;0;9;9;0
313550;3135503500628; ;1;257;275;138;218;272;01/01/1997;3135506;31;3;Jequeri;12848;7293;5555;Pequeno I;547,897;2;31.08.2019;8/31/2019;9/19/1971;47;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;3;12;3;0;0;0;0;15;0;0;0;15;0
313820;3138203500587; ;1;257;275;138;254;272;15/03/1998;3138203;31;3;Lavras;92200;87856;4344;Médio;564,744;2;31.08.2019;8/31/2019;12/6/1964;54;4;2;1; ; ;1;1; ; ; ; ;1; ; ; ;6;8;39;19;1;0;0;4;5;1;0;47;53;0
313970;3139703501097; ;2;257;237;142;217;18;02/02/2019;3139706;31;3;Maravilha;7163;4896;2267;Pequeno I;261,604;2;31.08.2019;8/31/2019;12/27/1975;43;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;0;1;7;2;1;0;0;0;2;2;0;4;8;0
314090;3140903501767; ;1;257;237;266;254;20;15/01/2017;3140902;31;3;Matipó;17639;13832;3807;Pequeno I;266,99;2;31.08.2019;8/31/2019;4/3/1973;46;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;9;1;9;0;0;0;0;0;1;0;0;18;19;0
314120;3141203501131; ;1;257;275;363;217;272;25/09/2018;3141207;31;3;Matutina;3761;2693;1068;Pequeno I;260,957;2;31.08.2019;8/31/2019;12/20/1978;40;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;1;1;6;2;1;0;0;1;0;0;0;8;8;0
314290;3142903500972; ;1;255;238;363;254;263;01/05/2013;3142908;31;3;Monte Azu;21994;12418;9576;Pequeno II;1001,296;2;31.08.2019;8/31/2019;10/26/1979;39;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;6;7;12;2;0;0;0;0;6;0;0;19;25;0
314710;3147103501053; ;1;253;239;363;220;20;01/09/1992;3147105;31;3;Pará de M;84215;79599;4616;Médio;551,247;2;31.08.2019;8/31/2019;6/21/1974;45;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;4;10;12;1;4;0;1;1;0;8;0;18;26;0
