IBGE;NU_IDENTIFICADOR;co_seq_dirigente;q62_2;q62_3;q62_8;q62_9;q62_10;q62_11;q62_12;q62_13;q62_14;q62_15;q62_16;DataCenso;DataCenso_2020;q62_2_rec;Idade;Faixas_etarias;d62_8;d62_8bin1;d62_8bin2;d62_8bin3;d62_9;d62_9bin1;d62_9bin2;d62_9bin3;d62_9bin4;d62_9bin5;d62_10;d62_10bin1;d62_10bin2;d62_10bin3;d62_10bin4;missing_atividade;d62_14_1bin_Gestão;d62_14_1bin_PAEFI;d62_14_1bin_MSE;d62_14_1bin_ABORDAGEM;d62_14_1bin_PSE_PCDI;d62_14_1bin_Beneficios;d62_14_1bin_CADASTRAMENTO;d62_14_1bin_Outros;d62_15_2bin_Gestão;d62_15_2bin_PAEFI;d62_15_2bin_MSE;d62_15_2bin_ABORDAGEM;d62_15_2bin_PSE_PCDI;d62_15_2bin_Beneficios;d62_15_2bin_CADASTRAMENTO;d62_15_2bin_Outros;d62_16_3bin_Gestão;d62_16_3bin_PAEFI;d62_16_3bin_MSE;d62_16_3bin_ABORDAGEM;d62_16_3bin_PSE_PCDI;d62_16_3bin_Beneficios;d62_16_3bin_CADASTRAMENTO;d62_16_3bin_Outros;q62_9_velha;nu_trabalhador;d62_8bin1_sum;d62_8bin2_sum;d62_8bin3_sum;d62_9bin1_sum;d62_9bin2_sum;d62_9bin3_sum;d62_9bin4_sum;d62_9bin5_sum;d62_10bin1_sum;d62_10bin2_sum;d62_10bin3_sum;d62_10bin4_sum;nu_trabalhadores
314310;31431094888;1385255;18/fev/90;Feminino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;#NULL!;Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;Outros;31.08.2020;31/ago/20;12854678400,00;30;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Psicólogo;#NULO!;#NULO!;#NULO!;#NULO!;Psicólogo;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Serviço de Medida Socioeducativa;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;274;9;#NULO!;3,00;6,00;#NULO!;2,00;#NULO!;1,00;2,00;5,00;#NULO!;#NULO!;4,00;9
314310;31431094888;861849;14/out/70;Feminino;Superior Completo;Advogada(o);Servidor(a)/Estatutário(a);Técnico(a) de nível superior;De 11 a 20 horas semanais;02/jan/13;Outros;Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;Serviço de Medida Socioeducativa (Liberdade Assistida ou Prestação de Serviço a Comunidade);31.08.2020;31/ago/20;12244089600,00;49;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Advogado;#NULO!;#NULO!;#NULO!;Advogado;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Serviço de Medida Socioeducativa;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;232;9;#NULO!;3,00;6,00;#NULO!;2,00;#NULO!;1,00;2,00;5,00;#NULO!;#NULO!;4,00;9
314310;31431094888;1494507;05/set/86;Feminino;Superior Completo;Outra(o) profissional de nível superior;Servidor(a)/Estatutário(a);Serviços Gerais (limpeza, conservação, motoristas, etc.);De 31 a 40 horas semanais;01/nov/18;Outros;#NULO!;#NULO!;31.08.2020;31/ago/20;12745641600,00;33;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;237;9;#NULO!;3,00;6,00;#NULO!;2,00;#NULO!;1,00;2,00;5,00;#NULO!;#NULO!;4,00;9
314320;13143203367;765134;01/out/91;Feminino;Superior Completo;Assistente Social;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;30/jul/18;Concessão Benefícios Eventual;Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosos e suas Famílias;31.08.2020;31/ago/20;12905654400,00;28;18 a 29 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Assistente Social;#NULO!;Assistente Social;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Concessão de Benefícios Eventuais;#NULO!;#NULO!;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosos e suas Famílias;#NULO!;#NULO!;#NULO!;273;6;#NULO!;2,00;4,00;#NULO!;1,00;#NULO!;1,00;2,00;#NULO!;#NULO!;#NULO!;6,00;6
314320;13143203367;1270835;04/ago/87;Feminino;Superior Completo;Psicóloga(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;01/mar/17;Outros;Concessão Benefícios Eventual;Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;31.08.2020;31/ago/20;12774412800,00;33;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Psicólogo;#NULO!;#NULO!;#NULO!;#NULO!;Psicólogo;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Concessão de Benefícios Eventuais;#NULO!;#NULO!;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;274;6;#NULO!;2,00;4,00;#NULO!;1,00;#NULO!;1,00;2,00;#NULO!;#NULO!;#NULO!;6,00;6
314320;13143203367;1158815;15/mai/91;Masculino;Superior Completo;Advogada(o);Outro vínculo não permanente;Técnico(a) de nível superior;De 31 a 40 horas semanais;01/abr/16;Outros;Concessão Benefícios Eventual;Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;31.08.2020;31/ago/20;12893644800,00;29;18 a 29 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Advogado;#NULO!;#NULO!;#NULO!;Advogado;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Concessão de Benefícios Eventuais;#NULO!;#NULO!;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;232;6;#NULO!;2,00;4,00;#NULO!;1,00;#NULO!;1,00;2,00;#NULO!;#NULO!;#NULO!;6,00;6
314320;13143203367;1505301;08/jul/95;Masculino;Superior Completo;Psicóloga(o);Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;01/ago/20;Outros;Concessão Benefícios Eventual;Serviço de Proteção e Atendimento Especializado a Famílias e Indivíduos;31.08.2020;31/ago/20;13024540800,00;25;18 a 29 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Psicólogo;#NULO!;#NULO!;#NULO!;#NULO!;Psicólogo;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Concessão de Benefícios Eventuais;#NULO!;#NULO!;#NULO!;PAEFI;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;274;6;#NULO!;2,00;4,00;#NULO!;1,00;#NULO!;1,00;2,00;#NULO!;#NULO!;#NULO!;6,00;6
314330;31433098102;1008365;24/jun/79;Feminino;Superior Completo;Outra(o) profissional de nível superior;Servidor(a) Temporária(o);Apoio Administrativo;De 21 a 30 horas semanais;02/fev/17;Atividades de gestão (administrativo);#NULO!;#NULO!;31.08.2020;31/ago/20;12518409600,00;41;41 a 50 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;Gestão;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;237;22;2,00;2,00;18,00;1,00;8,00;#NULO!;#NULO!;6,00;4,00;#NULO!;1,00;17,00;22
314330;31433098102;1477881;20/jun/82;Masculino;Superior Completo;Outra(o) profissional de nível superior;Servidor(a) Temporária(o);Apoio Administrativo;De 21 a 30 horas semanais;29/jan/18;Atividades de gestão (administrativo);#NULO!;#NULO!;31.08.2020;31/ago/20;12612758400,00;38;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Outro profissional de nivel superior;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;Gestão;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;237;22;2,00;2,00;18,00;1,00;8,00;#NULO!;#NULO!;6,00;4,00;#NULO!;1,00;17,00;22
314330;31433093920;1313173;12/set/86;Feminino;Superior Completo;Sem formação profissional;Servidor(a) Temporária(o);Apoio Administrativo;De 21 a 30 horas semanais;01/fev/17;Atividades de gestão (administrativo);#NULO!;#NULO!;31.08.2020;31/ago/20;12746246400,00;33;30 a 40 anos;Nível Superior;#NULO!;#NULO!;Nível Superior;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;Gestão;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;239;21;3,00;3,00;15,00;2,00;7,00;#NULO!;#NULO!;5,00;3,00;#NULO!;#NULO!;18,00;21
